,city,region,country,lat,lon,date,temp_c,temp_f,is_day,condition_text,condition_icon,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
31,Geria,Guera,Chad,12.2667,17.6167,2025-06-29,35.7,96.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.3,23.0,240,WSW,1009.0,29.8,0.0,0.0,33,6,37.3,99.2,35.7,96.3,37.3,99.2,17.0,62.7,10.0,6.0,3.8,16.5,26.5
32,Rapilermo,Maule,Chile,-35.2,-71.7833,2025-06-29,-0.9,30.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,188,S,1029.0,30.39,0.0,0.0,100,60,-3.4,25.9,-2.1,28.2,0.2,32.4,-0.7,30.8,10.0,6.0,0.0,8.9,14.4
33,Hsichiatien,Hubei,China,32.7489,111.1808,2025-06-29,31.4,88.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,15.4,24.8,106,ESE,998.0,29.47,0.0,0.0,62,15,36.4,97.4,31.4,88.5,36.4,97.4,23.2,73.8,10.0,6.0,0.8,17.8,28.6
34,Aquitania,Antioquia,Colombia,5.8333,-74.9333,2025-06-29,21.1,69.9,0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,2.2,3.6,208,SSW,1012.0,29.87,0.0,0.0,97,100,21.1,69.9,21.1,69.9,24.1,75.4,20.6,69.1,0.0,0.0,0.0,3.5,5.7
35,Ntakoudja,Anjouan,Comoros,-12.1686,44.2228,2025-06-29,26.4,79.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,10.3,16.6,148,SSE,1016.0,30.01,0.0,0.0,69,6,28.3,83.0,26.4,79.6,28.3,83.0,20.3,68.6,10.0,6.0,7.6,12.1,19.5
36,Okolo,Plateaux,Congo,-1.6575,14.7519,2025-06-29,29.5,85.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.7,10.8,234,SW,1014.0,29.93,0.0,0.0,52,19,30.9,87.7,29.5,85.0,30.9,87.7,18.6,65.4,10.0,6.0,6.2,7.7,12.4
37,Alajuela,Alajuela,Costa Rica,10.017,-84.217,2025-06-29,22.3,72.1,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,4.9,7.9,51,NE,1016.0,30.0,0.0,0.0,83,75,24.8,76.6,15.6,60.0,15.6,60.0,14.7,58.5,10.0,6.0,0.0,10.3,16.6
38,Bouafle,Marahoue,Cote d'Ivoire,6.983,-5.75,2025-06-29,26.8,80.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,6.0,9.7,235,SW,1016.0,30.0,0.02,0.0,68,100,28.8,83.8,26.8,80.3,28.8,83.8,20.5,68.9,10.0,6.0,6.0,7.0,11.2
39,Bosanski Novi,Republika Srpska,Bosnia and Herzegovina,45.046,16.38,2025-06-29,30.0,86.0,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.9,11.2,34,NE,1022.0,30.18,0.0,0.0,38,0,29.8,85.6,30.8,87.4,30.7,87.2,14.5,58.0,10.0,6.0,9.3,8.0,12.9
40,Sancti Spiritus,Sancti Spiritus,Cuba,21.93,-79.443,2025-06-29,24.6,76.3,0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,4.5,7.2,30,NNE,1019.0,30.08,0.0,0.0,97,65,27.6,81.6,24.6,76.3,27.6,81.6,23.2,73.8,2.0,1.0,0.0,8.6,13.9
41,Akapnou,Limassol,Cyprus,34.842,33.188,2025-06-29,30.2,86.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.2,18.0,213,SSW,1000.0,29.53,0.0,0.0,70,0,31.2,88.2,31.9,89.5,34.0,93.2,18.9,66.1,10.0,6.0,11.1,12.9,20.7
42,Tremosnice,Plzensky kraj,Czech Republic,49.867,15.583,2025-06-29,26.1,79.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,11.6,18.7,299,WNW,1022.0,30.18,0.0,0.0,58,75,26.9,80.5,26.4,79.5,27.2,81.0,16.3,61.3,10.0,6.0,6.3,15.0,24.2
43,Koditshale,Sud-Kivu,Democratic Republic of Congo,-3.2167,23.2,2025-06-29,35.0,95.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.1,5.0,198,SSW,1010.0,29.82,0.0,0.0,27,13,34.6,94.3,35.0,95.0,34.6,94.3,13.2,55.7,10.0,6.0,6.4,3.6,5.8
44,Langore,Midtjylland,Denmark,55.9,10.6667,2025-06-29,19.1,66.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,22.8,36.7,282,WNW,1017.0,30.03,0.0,0.0,49,75,19.1,66.4,17.7,63.9,17.7,63.9,9.6,49.3,10.0,6.0,6.7,37.0,59.5
45,We`A,Tadjoura,Djibouti,11.5031,42.8553,2025-06-29,37.1,98.7,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.9,11.2,13,NNE,1001.0,29.56,0.0,0.0,36,29,40.7,105.3,37.1,98.7,40.7,105.3,19.6,67.2,10.0,6.0,9.7,12.5,20.1
46,Roseau,Saint George,Dominica,15.3,-61.4,2025-06-29,27.1,80.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,92,E,1016.0,30.01,0.02,0.0,77,77,30.1,86.1,27.1,80.7,30.1,86.1,22.6,72.7,10.0,6.0,0.0,21.7,34.8
47,Bonao,Monsenor Nouel,Dominican Republic,18.933,-70.417,2025-06-29,22.4,72.3,1,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,2.5,4.0,218,SW,1019.0,30.08,0.0,0.0,98,100,24.8,76.7,22.4,72.3,24.8,76.7,22.0,71.5,2.0,1.0,0.0,5.2,8.3
48,Vinces,Los Rios,Ecuador,-1.55,-79.733,2025-06-29,22.5,72.5,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,3.4,5.4,145,SE,1011.0,29.86,0.0,0.0,94,100,24.9,76.8,22.5,72.5,24.9,76.8,21.5,70.6,10.0,6.0,0.0,5.0,8.1
49,Bayad An Nasara,Bani Suwayf,Egypt,29.0667,31.1333,2025-06-29,38.4,101.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.2,18.0,291,WNW,1002.0,29.59,0.0,0.0,14,0,37.6,99.6,38.4,101.1,37.6,99.6,6.0,42.7,10.0,6.0,11.9,12.9,20.7
50,Cojutepeque,Cuscatlan,El Salvador,13.717,-88.933,2025-06-29,24.1,75.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,3.4,5.4,337,NNW,1013.0,29.9,0.0,0.0,94,75,26.9,80.4,21.9,71.3,24.5,76.1,21.3,70.4,10.0,6.0,0.0,5.5,8.8
51,Bata,Litoral,Equatorial Guinea,1.85,9.75,2025-06-29,27.1,80.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,9.4,15.1,231,SW,1015.0,29.97,0.02,0.0,75,64,29.9,85.7,27.1,80.8,29.9,85.7,22.2,72.0,10.0,6.0,7.5,11.1,17.9
52,Paide,Jarvamaa,Estonia,58.886,25.557,2025-06-29,15.8,60.4,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,18.6,29.9,289,WNW,997.0,29.45,0.64,0.03,79,100,15.8,60.4,15.8,60.4,15.8,60.4,12.1,53.9,10.0,6.0,5.3,23.8,38.2
53,Navai,Western,Fiji Islands,-17.6167,177.9833,2025-06-29,23.2,73.8,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,6.5,10.4,133,SE,1015.0,29.97,0.0,0.0,73,50,25.4,77.6,21.7,71.0,24.4,75.9,19.4,66.9,10.0,6.0,0.0,10.5,17.0
54,Vilppula,Western Finland,Finland,62.017,24.517,2025-06-29,12.4,54.3,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,15.2,24.5,315,NW,993.0,29.32,0.0,0.0,88,75,10.1,50.1,17.2,63.0,17.2,63.0,5.2,41.3,10.0,6.0,3.0,17.5,28.2
55,Neuilly-En-Sancerre,Centre,France,47.3,2.683,2025-06-29,30.2,86.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.7,14.0,46,NE,1024.0,30.24,0.0,0.0,46,0,28.9,84.1,33.6,92.5,33.0,91.4,12.8,55.0,10.0,6.0,7.9,10.0,16.2
56,Ancien Okaka,Ogooue-Ivindo,Gabon,-0.6833,11.55,2025-06-29,26.0,78.7,1,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,3.4,5.4,281,WNW,1015.0,29.98,0.0,0.0,73,83,27.9,82.2,26.0,78.7,27.9,82.2,20.7,69.2,10.0,6.0,5.8,3.9,6.2
57,Jomarr,Lower River,Gambia,13.433,-15.667,2025-06-29,31.1,88.0,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.7,10.8,290,WNW,1015.0,29.96,0.0,0.0,55,33,34.3,93.7,31.1,88.0,34.3,93.7,21.1,69.9,10.0,6.0,4.4,7.7,12.4
58,Kharagauli,Kharagaulis Raioni,Georgia,42.02,43.214,2025-06-29,18.3,64.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,4.7,7.6,278,W,1008.0,29.77,0.07,0.0,92,100,18.3,64.9,18.3,64.9,18.3,64.9,17.0,62.6,10.0,6.0,1.9,5.8,9.4
59,Schlitz,Hessen,Germany,50.667,9.567,2025-06-29,26.2,79.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.2,11.5,303,WNW,1024.0,30.24,0.0,0.0,58,0,26.5,79.7,28.2,82.8,28.5,83.3,15.1,59.2,10.0,6.0,7.8,8.2,13.2
60,Agogo,Ashanti,Ghana,6.8,-1.083,2025-06-29,25.1,77.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,6.5,10.4,216,SW,1015.0,29.98,0.02,0.0,76,79,27.1,80.7,25.1,77.2,27.1,80.7,20.7,69.2,10.0,6.0,6.6,9.7,15.6
61,Prokopion,Central Greece,Greece,38.733,23.483,2025-06-29,29.3,84.7,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,18.8,30.2,21,NNE,1014.0,29.94,0.0,0.0,37,50,29.7,85.5,27.0,80.6,27.2,80.9,13.7,56.7,10.0,6.0,10.4,21.6,34.8
62,Arsivik,Vestgronland,Greenland,69.85,-50.7,2025-06-29,1.0,33.8,0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,4.3,6.8,31,NNE,1009.0,29.79,0.17,0.01,98,100,-1.2,29.8,-1.2,29.8,1.0,33.8,0.7,33.2,2.0,1.0,0.6,7.7,12.3
63,Saint George's,Saint George,Grenada,12.05,-61.75,2025-06-29,26.3,79.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.7,25.2,91,E,1014.0,29.94,0.04,0.0,89,25,29.4,85.0,26.5,79.7,29.8,85.7,23.6,74.4,10.0,6.0,0.0,21.6,34.7
64,Joyabaj,Quiche,Guatemala,14.995,-90.806,2025-06-29,18.2,64.8,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.2,3.6,281,WNW,1022.0,30.18,0.0,0.0,94,75,18.2,64.8,15.6,60.1,15.3,59.5,15.2,59.3,10.0,6.0,0.0,3.5,5.6
65,Tansabagno,Dabola,Guinea,10.2667,-11.5,2025-06-29,24.1,75.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,3.6,5.8,239,WSW,1016.0,30.01,0.01,0.0,86,95,26.3,79.3,24.1,75.4,26.3,79.3,21.6,70.9,10.0,6.0,3.0,4.3,7.0
66,Fulacunda,Oio,Guinea-Bissau,11.767,-15.167,2025-06-29,27.1,80.8,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,232,SW,1015.0,29.97,0.01,0.0,84,50,30.1,86.1,28.4,83.2,32.7,90.9,23.9,75.0,9.0,5.0,3.2,6.7,10.8
67,Wineperu,Cuyuni-Mazaruni,Guyana,6.1833,-58.5833,2025-06-29,24.0,75.2,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,111,ESE,1013.0,29.91,0.0,0.0,100,75,26.8,80.3,22.2,71.9,24.7,76.5,21.8,71.3,10.0,6.0,0.0,2.6,4.2
68,Saint-Marc,Artibonite,Haiti,19.117,-72.7,2025-06-29,25.6,78.1,1,Clear,//cdn.weatherapi.com/weather/64x64/day/113.png,4.0,6.5,126,SE,1017.0,30.03,0.0,0.0,83,3,28.0,82.4,25.6,78.1,28.0,82.4,22.0,71.6,10.0,6.0,0.0,5.4,8.7
69,El Buen Pastor,Comayagua,Honduras,14.867,-87.65,2025-06-29,18.4,65.1,0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,3.6,5.8,124,SE,1015.0,29.98,0.0,0.0,95,42,18.4,65.1,18.4,65.1,18.4,65.1,17.8,64.0,2.0,1.0,0.0,7.0,11.3
70,Inarcs,Heves,Hungary,47.267,19.333,2025-06-29,28.3,82.9,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.6,12.2,315,NW,1021.0,30.15,0.0,0.0,45,0,27.4,81.2,32.0,89.6,31.4,88.5,12.9,55.3,10.0,6.0,9.0,8.7,14.1
71,Gilsbakki,Myrasysla,Iceland,64.7167,-20.9833,2025-06-29,6.1,43.0,0,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/night/176.png,7.8,12.6,5,N,1005.0,29.68,0.01,0.0,94,100,3.5,38.3,3.5,38.3,6.1,43.0,5.3,41.5,10.0,6.0,0.3,9.0,14.5
72,Umred,Maharashtra,India,20.85,79.333,2025-06-29,27.0,80.6,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,15.0,24.1,251,WSW,1002.0,29.59,1.15,0.05,74,100,31.7,89.0,23.6,74.5,25.9,78.6,22.0,71.5,4.0,2.0,0.7,21.0,33.9
73,Pegatan,Kalimantan Tengah,Indonesia,-3.25,113.3333,2025-06-29,27.0,80.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,10.5,16.9,126,SE,1008.0,29.77,0.16,0.01,81,86,30.4,86.7,27.0,80.5,30.4,86.7,23.5,74.3,9.0,5.0,0.1,14.7,23.6
74,Rengan,Esfahan,Iran,33.3,52.0833,2025-06-29,37.6,99.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.6,18.7,42,NE,997.0,29.43,0.0,0.0,8,0,36.6,97.8,37.6,99.8,36.6,97.8,-2.2,28.0,10.0,6.0,10.9,13.4,21.5
75,Hawija,Diyala,Iraq,34.0167,44.3833,2025-06-29,45.4,113.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,12.8,20.5,280,W,994.0,29.36,0.0,0.0,6,0,48.7,119.7,45.4,113.8,48.7,119.7,0.2,32.3,10.0,6.0,10.4,14.7,23.6
76,Mountmellick,Laois,Ireland,53.114,-7.32,2025-06-29,19.9,67.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,8.5,13.7,200,SSW,1023.0,30.2,0.14,0.01,83,96,19.9,67.9,19.9,67.9,19.9,67.9,17.0,62.5,10.0,6.0,4.0,10.9,17.6
77,Tayibe,HaMerkaz,Israel,32.265,35.008,2025-06-29,34.3,93.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,12.3,19.8,260,W,1001.0,29.56,0.0,0.0,36,0,41.7,107.0,29.3,84.8,31.3,88.4,19.7,67.5,10.0,6.0,11.4,14.2,22.8
78,Pantalla,Umbria,Italy,42.883,12.4,2025-06-29,32.3,90.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,15.0,24.1,50,NE,1020.0,30.12,0.0,0.0,36,0,31.4,88.5,33.5,92.3,32.9,91.3,12.9,55.2,10.0,6.0,9.4,17.2,27.8
79,Lluidas Vale,Saint Catherine,Jamaica,18.133,-77.15,2025-06-29,27.2,81.0,0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,4.0,6.5,3,N,1015.0,29.97,0.0,0.0,84,0,33.1,91.6,24.2,75.5,27.0,80.6,23.6,74.5,10.0,6.0,0.0,7.0,11.2
80,Gujo,Gifu,Japan,35.737,136.959,2025-06-29,28.3,82.9,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,4.7,7.6,198,SSW,1009.0,29.8,0.0,0.0,70,25,30.9,87.7,26.3,79.3,27.9,82.3,19.5,67.1,10.0,6.0,0.0,8.4,13.6
81,Safut,Al Balqa',Jordan,32.033,35.833,2025-06-29,32.4,90.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.8,23.8,285,WNW,1006.0,29.71,0.0,0.0,17,0,30.2,86.4,33.3,92.0,31.2,88.2,3.1,37.5,7.0,4.0,11.8,17.0,27.3
82,Tyuye-Muinok,Qaraghandy,Kazakhstan,47.8333,69.0833,2025-06-29,22.6,72.6,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,238,WSW,999.0,29.5,0.11,0.0,42,83,24.3,75.7,22.6,72.6,24.3,75.7,9.0,48.3,10.0,6.0,3.9,18.7,30.1
83,Nyeri,Central,Kenya,-0.417,36.95,2025-06-29,17.3,63.1,1,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,8.3,13.3,142,SE,1017.0,30.03,0.11,0.0,83,75,17.3,63.1,18.7,65.6,18.7,65.6,13.1,55.7,9.0,5.0,4.8,10.0,16.0
84,Glogovac,Komuna e Drenasit,Kosovo,42.628,20.894,2025-06-29,26.1,79.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.1,22.7,15,NNE,1021.0,30.15,0.0,0.0,39,25,25.4,77.8,27.7,81.9,26.7,80.1,8.6,47.5,10.0,6.0,9.9,16.2,26.1
85,Bayan,Al Kuwayt,Kuwait,29.318,48.039,2025-06-29,47.2,117.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,4.0,6.5,284,WNW,993.0,29.32,0.0,0.0,6,0,49.2,120.6,41.4,106.6,42.8,109.1,15.3,59.5,10.0,6.0,10.2,8.5,13.6
86,Urumbash,Jalal-Abad,Kyrghyzstan,41.2,73.4,2025-06-29,36.3,97.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,10.5,16.9,260,W,999.0,29.5,0.0,0.0,11,0,34.8,94.6,36.3,97.3,34.8,94.6,1.8,35.2,10.0,6.0,6.2,12.1,19.5
87,Pakxan,Louangphrabang,Lao People's Democratic Republic,18.367,103.65,2025-06-29,23.7,74.7,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,2.9,4.7,203,SSW,1003.0,29.62,0.77,0.03,98,100,26.4,79.5,23.7,74.7,26.4,79.5,23.4,74.1,10.0,6.0,0.4,3.9,6.3
88,Lielvarde,Ogres,Latvia,56.723,24.805,2025-06-29,20.1,68.2,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,17.9,28.8,299,WNW,1003.0,29.62,0.0,0.0,56,50,20.1,68.2,20.9,69.6,20.9,69.6,7.3,45.2,10.0,6.0,6.9,20.8,33.5
89,Djounie,Mont-Liban,Lebanon,33.981,35.618,2025-06-29,29.2,84.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,12.1,19.4,230,SW,1003.0,29.62,0.0,0.0,70,25,32.1,89.7,28.0,82.4,30.0,86.0,20.3,68.5,8.0,4.0,11.4,13.9,22.4
90,Setleketseng,Berea,Lesotho,-29.6,28.0,2025-06-29,11.4,52.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.2,3.6,204,SSW,1032.0,30.47,0.0,0.0,47,0,11.8,53.2,10.4,50.8,10.2,50.3,-4.9,23.2,10.0,6.0,3.9,2.6,4.1
91,Gejo,Grand Bassa,Liberia,6.3,-9.5333,2025-06-29,23.0,73.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,2.5,4.0,221,SW,1017.0,30.04,0.09,0.0,94,100,25.4,77.7,23.1,73.5,25.4,77.7,22.0,71.5,10.0,6.0,1.9,3.4,5.5
92,Sirte,Surt,Libya,31.2061,16.5947,2025-06-29,27.9,82.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.2,18.0,331,NNW,1014.0,29.95,0.0,0.0,66,5,30.3,86.5,27.9,82.2,30.3,86.5,21.0,69.9,10.0,6.0,10.2,13.5,21.8
93,Schaan,Schaan,Liechtenstein,47.167,9.5,2025-06-29,25.4,77.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,4.3,6.8,7,N,1024.0,30.24,0.0,0.0,65,0,26.0,78.8,25.4,77.8,26.0,78.9,13.4,56.0,10.0,6.0,9.2,4.9,7.9
94,Dotnuva,Panevezio Apskritis,Lithuania,55.35,23.9,2025-06-29,20.2,68.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,19.9,32.0,276,W,1008.0,29.77,0.0,0.0,60,75,20.2,68.4,21.0,69.7,21.0,69.7,10.8,51.5,10.0,6.0,5.4,22.9,36.9
95,Hunsdorf,Luxembourg,Luxembourg,49.697,6.132,2025-06-29,25.1,77.2,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.9,7.9,356,N,1025.0,30.27,0.0,0.0,61,25,25.9,78.7,27.2,81.0,27.9,82.2,16.0,60.9,10.0,6.0,7.6,5.7,9.1
96,Macau,Ilhas,Macau,22.2,113.55,2025-06-29,29.3,84.7,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,13.0,20.9,134,SE,1003.0,29.62,0.0,0.0,84,50,34.5,94.1,28.5,83.4,32.8,91.0,23.8,74.9,10.0,6.0,0.4,17.7,28.5
97,Dolno Orizari,Veles,Macedonia,41.674,21.749,2025-06-29,31.2,88.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,15.9,25.6,345,NNW,1019.0,30.09,0.0,0.0,31,25,29.5,85.1,30.9,87.6,29.2,84.6,8.3,46.9,10.0,6.0,10.3,18.3,29.4
98,Analatava,Antananarivo,Madagascar,-19.4833,47.25,2025-06-29,20.1,68.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.9,14.4,98,E,1021.0,30.14,0.0,0.0,40,12,20.1,68.2,20.1,68.2,20.1,68.2,6.1,43.0,10.0,6.0,6.1,10.3,16.6
99,Ndindi,Dedza,Malawi,-14.1667,34.5833,2025-06-29,20.9,69.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.4,11.9,103,ESE,1021.0,30.15,0.0,0.0,40,8,20.9,69.7,20.9,69.7,20.9,69.7,6.8,44.2,10.0,6.0,8.3,8.5,13.7
100,Tobong,West Kalimantan,Indonesia,3.2772,106.2878,2025-06-29,28.9,84.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.3,13.3,221,SW,1006.0,29.71,0.0,0.0,68,19,32.4,90.2,28.9,84.1,32.4,90.2,22.4,72.4,10.0,6.0,0.3,11.1,17.8
101,Magoodhoo,Maale,Maldives,3.1,72.9667,2025-06-29,28.0,82.4,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,12.5,20.2,278,W,1009.0,29.79,1.03,0.04,77,52,31.9,89.4,28.0,82.4,31.9,89.4,23.6,74.4,10.0,6.0,4.6,18.2,29.3
102,Markala,Segou,Mali,13.683,-6.083,2025-06-29,34.7,94.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,13.6,22.0,289,WNW,1011.0,29.87,0.0,0.0,39,4,37.0,98.7,34.7,94.5,37.0,98.7,18.5,65.3,10.0,6.0,6.2,15.7,25.3
103,Ksar El Barka,Tagant,Mauritania,18.4,-12.2167,2025-06-29,32.1,89.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,17.7,28.4,293,WNW,1012.0,29.89,0.0,0.0,31,6,31.5,88.7,32.1,89.8,31.5,88.7,12.8,55.1,10.0,6.0,4.7,20.3,32.7
104,Verdun,Moka,Mauritius,-20.228,57.544,2025-06-29,23.2,73.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,17.7,28.4,89,E,1021.0,30.15,0.27,0.01,94,75,25.2,77.3,23.2,73.8,25.2,77.4,19.0,66.1,6.0,3.0,3.7,24.5,39.5
105,La Loma,Hidalgo,Mexico,20.535,-99.385,2025-06-29,13.2,55.7,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,3.6,5.8,17,NNE,1017.0,30.03,0.0,0.0,97,99,13.2,55.8,13.2,55.8,13.2,55.7,12.6,54.6,10.0,6.0,0.0,4.1,6.6
106,Reeron,Chuuk,Micronesia,7.3619,149.1969,2025-06-29,28.6,83.5,0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,8.7,14.0,139,SE,1009.0,29.8,0.0,0.0,73,70,32.5,90.5,28.6,83.5,32.5,90.5,23.3,73.9,10.0,6.0,0.0,11.8,19.0
107,Calarasi,Gagauzia,Moldova,47.254,28.308,2025-06-29,24.3,75.7,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,19.0,30.6,330,NNW,1016.0,30.0,0.0,0.0,54,75,25.6,78.1,23.3,73.9,25.0,77.0,14.8,58.6,10.0,6.0,5.4,21.9,35.2
108,Gurban Bulagiin Somon,Bulgan,Mongolia,47.6333,103.5167,2025-06-29,13.9,57.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.2,11.5,286,WNW,1002.0,29.58,0.0,0.0,71,23,13.1,55.5,13.1,55.5,13.9,56.9,8.8,47.8,10.0,6.0,1.5,13.3,21.4
109,Salem,Saint Peter,Montserrat,16.75,-62.217,2025-06-29,27.4,81.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,21.7,34.9,92,E,1017.0,30.02,0.01,0.0,81,77,31.0,87.8,27.4,81.3,31.0,87.8,23.6,74.5,10.0,6.0,0.0,29.5,47.4
110,Guex,Sofala,Mozambique,-18.4342,35.8875,2025-06-29,28.2,82.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.8,9.4,164,SSE,1022.0,30.17,0.0,0.0,42,21,28.2,82.7,28.2,82.7,28.2,82.7,14.0,57.2,10.0,6.0,6.3,6.7,10.8
111,Tetshein,Mandalay,Myanmar,20.0333,96.0167,2025-06-29,23.8,74.9,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,6.9,11.2,148,SSE,1002.0,29.59,0.2,0.01,93,100,26.2,79.2,23.8,74.9,26.2,79.2,22.6,72.7,10.0,6.0,1.6,11.7,18.8
112,Veddersdal,Otjozondjupa,Namibia,-21.9667,16.8,2025-06-29,21.2,70.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.1,22.7,38,NE,1020.0,30.13,0.0,0.0,10,0,21.2,70.2,21.2,70.2,21.7,71.1,-10.9,12.3,10.0,6.0,5.7,16.2,26.1
113,Maarsbergen,Utrecht,Netherlands,52.058,5.406,2025-06-29,26.3,79.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.1,13.0,313,NW,1024.0,30.24,0.0,0.0,54,0,26.7,80.1,27.1,80.8,27.5,81.5,14.8,58.6,10.0,6.0,6.8,9.3,14.9
