,city,region,country,lat,lon,date,temp_c,temp_f,is_day,condition_text,condition_icon,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
226,Oslo,Oslo,Norway,59.917,10.75,2025-06-29,20.2,68.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,13.6,22.0,276,W,1004.0,29.65,0.0,0.0,35,0,20.2,68.4,21.4,70.6,23.3,73.9,4.1,39.4,10.0,6.0,5.4,15.7,25.3
227,Imam `Awn,Al Qadisiyah,Iraq,31.9061,44.8606,2025-06-29,47.0,116.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.6,15.5,319,NW,994.0,29.35,0.0,0.0,5,0,49.0,120.2,47.0,116.6,51.6,124.8,-1.4,29.5,10.0,6.0,10.4,11.1,17.8
228,Aurata,Gracias a Dios,Honduras,15.4333,-84.1,2025-06-29,22.4,72.4,0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,2.2,3.6,241,WSW,1014.0,29.94,0.02,0.0,98,100,25.0,76.9,22.4,72.4,25.0,76.9,22.1,71.8,0.0,0.0,0.0,3.7,6.0
229,Cana,Zaire,Angola,-6.7833,13.4167,2025-06-29,28.5,83.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.7,4.3,202,SSW,1015.0,29.97,0.0,0.0,50,0,29.3,84.7,28.5,83.2,29.3,84.7,16.9,62.5,10.0,6.0,6.6,3.1,5.0
230,La Libertad,Chontales,Nicaragua,12.217,-85.167,2025-06-29,22.1,71.8,0,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/night/176.png,12.1,19.4,37,NE,1013.0,29.9,0.01,0.0,94,78,24.6,76.3,22.1,71.8,24.6,76.3,21.1,69.9,10.0,6.0,0.0,17.1,27.6
231,Algemesi,Comunidad Valenciana,Spain,39.183,-0.433,2025-06-29,35.3,95.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.6,15.5,71,ENE,1020.0,30.12,0.0,0.0,30,0,34.9,94.8,36.5,97.7,36.7,98.0,14.1,57.5,10.0,6.0,8.2,11.1,17.8
232,Tal'nov,West Kazakhstan,Kazakhstan,50.4833,50.55,2025-06-29,23.3,74.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.7,10.8,289,WNW,1006.0,29.7,0.0,0.0,38,12,24.4,75.8,23.3,74.0,24.4,75.8,8.2,46.7,10.0,6.0,5.4,7.7,12.4
233,Sibut,Kemo,Central African Republic,5.733,19.083,2025-06-29,27.5,81.5,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.7,10.8,224,SW,1013.0,29.91,0.0,0.0,66,48,29.6,85.3,27.5,81.5,29.6,85.3,20.7,69.2,10.0,6.0,3.2,7.7,12.4
234,Tongsa,Tongsa,Bhutan,27.517,90.5,2025-06-29,16.6,62.0,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,4.0,6.5,176,S,1003.0,29.63,0.76,0.03,89,81,16.7,62.0,16.7,62.0,16.7,62.0,14.9,58.8,10.0,6.0,2.4,6.5,10.5
235,Erfurt,Thuringen,Germany,50.983,11.033,2025-06-29,25.4,77.7,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,9.8,15.8,306,NW,1024.0,30.24,0.0,0.0,57,25,25.8,78.5,29.0,84.2,29.3,84.7,15.3,59.5,10.0,6.0,7.6,11.3,18.2
